iter	Passed	Remaining
0	163	81421
1	176	43937
2	188	31284
3	201	25009
4	214	21250
5	228	18807
6	242	17055
7	257	15829
8	269	14713
9	283	13908
10	296	13187
11	309	12596
12	322	12099
13	336	11670
14	349	11295
15	362	10952
16	373	10622
17	386	10341
18	400	10132
19	415	9967
20	425	9710
21	440	9570
22	462	9588
23	476	9459
24	489	9292
25	502	9167
26	516	9049
27	530	8950
28	544	8842
29	559	8770
30	572	8663
31	587	8598
32	604	8561
33	618	8481
34	635	8437
35	648	8357
36	661	8283
37	677	8234
38	691	8178
39	705	8110
40	717	8032
41	731	7973
42	746	7930
43	759	7872
44	774	7829
45	788	7786
46	802	7730
47	815	7675
48	828	7626
49	842	7581
50	857	7545
51	870	7499
52	883	7452
53	896	7404
54	911	7371
55	925	7336
56	938	7293
57	950	7242
58	961	7187
59	976	7159
60	996	7174
61	1011	7143
62	1024	7108
63	1039	7080
64	1052	7046
65	1066	7014
66	1081	6989
67	1094	6954
68	1109	6929
69	1126	6922
70	1143	6911
71	1156	6877
72	1176	6880
73	1191	6860
74	1208	6847
75	1225	6837
76	1241	6817
77	1256	6797
78	1270	6768
79	1284	6745
80	1296	6705
81	1308	6669
82	1322	6642
83	1335	6613
84	1355	6615
85	1381	6651
86	1395	6623
87	1407	6589
88	1422	6566
89	1435	6539
90	1450	6518
91	1465	6500
92	1484	6495
93	1499	6476
94	1515	6458
95	1528	6433
96	1540	6400
97	1553	6371
98	1565	6342
99	1577	6308
100	1587	6272
101	1598	6239
102	1609	6204
103	1619	6165
104	1629	6131
105	1641	6102
106	1651	6066
107	1662	6035
108	1669	5988
109	1679	5954
110	1690	5923
111	1700	5889
112	1712	5863
113	1723	5835
114	1734	5807
115	1748	5786
116	1759	5759
117	1769	5729
118	1780	5699
119	1790	5671
120	1801	5642
121	1812	5614
122	1824	5592
123	1834	5563
124	1847	5541
125	1861	5526
126	1875	5509
127	1887	5485
128	1900	5465
129	1923	5475
130	1936	5454
131	1947	5429
132	1959	5406
133	1970	5381
134	1981	5356
135	1993	5335
136	2006	5316
137	2018	5294
138	2030	5272
139	2043	5254
140	2055	5234
141	2067	5213
142	2078	5189
143	2092	5171
144	2103	5150
145	2115	5128
146	2127	5108
147	2140	5091
148	2154	5076
149	2169	5062
150	2181	5042
151	2193	5021
152	2207	5006
153	2220	4988
154	2234	4972
155	2245	4951
156	2258	4934
157	2272	4918
158	2285	4900
159	2296	4879
160	2307	4858
161	2321	4843
162	2336	4831
163	2349	4813
164	2362	4797
165	2374	4778
166	2387	4760
167	2399	4742
168	2410	4721
169	2422	4702
170	2434	4684
171	2446	4664
172	2459	4649
173	2469	4627
174	2486	4618
175	2503	4609
176	2520	4599
177	2538	4592
178	2557	4586
179	2575	4578
180	2589	4563
181	2598	4539
182	2618	4535
183	2635	4525
184	2656	4522
185	2670	4507
186	2685	4494
187	2699	4480
188	2713	4464
189	2726	4447
190	2743	4438
191	2759	4426
192	2774	4413
193	2788	4398
194	2800	4381
195	2817	4369
196	2831	4354
197	2844	4338
198	2857	4321
199	2869	4303
200	2880	4285
201	2893	4268
202	2904	4249
203	2914	4229
204	2925	4210
205	2936	4190
206	2946	4170
207	2957	4152
208	2967	4131
209	2977	4112
210	2991	4097
211	3003	4080
212	3013	4060
213	3024	4041
214	3035	4023
215	3046	4005
216	3056	3986
217	3067	3967
218	3078	3949
219	3088	3931
220	3099	3912
221	3109	3894
222	3121	3877
223	3133	3860
224	3144	3843
225	3155	3826
226	3168	3810
227	3179	3793
228	3190	3775
229	3203	3760
230	3216	3745
231	3228	3730
232	3240	3713
233	3254	3699
234	3267	3684
235	3279	3669
236	3290	3652
237	3303	3637
238	3318	3624
239	3329	3607
240	3342	3592
241	3355	3577
242	3367	3561
243	3384	3551
244	3396	3535
245	3405	3516
246	3419	3502
247	3432	3487
248	3447	3475
249	3459	3459
250	3472	3444
251	3485	3429
252	3505	3421
253	3525	3414
254	3550	3411
255	3578	3410
256	3603	3407
257	3635	3410
258	3675	3419
259	3714	3428
260	3754	3438
261	3780	3434
262	3809	3433
263	3837	3430
264	3862	3424
265	3892	3423
266	3920	3421
267	3953	3422
268	3979	3417
269	4009	3415
270	4062	3432
271	4093	3431
272	4130	3434
273	4164	3434
274	4200	3436
275	4235	3437
276	4266	3434
277	4299	3433
278	4326	3427
279	4351	3418
280	4381	3414
281	4395	3398
282	4408	3380
283	4423	3364
284	4439	3348
285	4453	3332
286	4468	3316
287	4491	3306
288	4516	3297
289	4540	3288
290	4567	3280
291	4581	3263
292	4595	3246
293	4606	3227
294	4619	3210
295	4634	3194
296	4647	3176
297	4661	3159
298	4673	3141
299	4686	3124
300	4702	3108
301	4714	3091
302	4728	3074
303	4741	3056
304	4754	3040
305	4767	3022
306	4780	3005
307	4795	2989
308	4808	2972
309	4821	2955
310	4836	2939
311	4850	2922
312	4865	2906
313	4883	2893
314	4900	2878
315	4919	2864
316	4935	2849
317	4949	2832
318	4965	2817
319	4981	2802
320	4989	2782
321	5003	2765
322	5016	2749
323	5030	2732
324	5045	2716
325	5059	2700
326	5074	2684
327	5088	2668
328	5105	2653
329	5117	2636
330	5126	2617
331	5139	2600
332	5152	2584
333	5164	2566
334	5175	2549
335	5188	2532
336	5201	2515
337	5213	2498
338	5225	2481
339	5238	2465
340	5249	2447
341	5262	2431
342	5276	2415
343	5290	2399
344	5303	2382
345	5315	2365
346	5330	2350
347	5343	2333
348	5360	2319
349	5375	2303
350	5391	2288
351	5411	2275
352	5427	2259
353	5443	2245
354	5460	2230
355	5476	2215
356	5491	2199
357	5508	2184
358	5525	2170
359	5544	2156
360	5557	2139
361	5573	2124
362	5589	2109
363	5604	2093
364	5618	2078
365	5631	2061
366	5645	2046
367	5662	2031
368	5675	2014
369	5688	1998
370	5702	1982
371	5717	1967
372	5729	1950
373	5739	1933
374	5751	1917
375	5763	1900
376	5774	1884
377	5785	1867
378	5797	1850
379	5809	1834
380	5818	1817
381	5831	1801
382	5847	1786
383	5859	1770
384	5872	1754
385	5883	1737
386	5895	1721
387	5908	1705
388	5921	1689
389	5933	1673
390	5946	1657
391	5958	1641
392	5969	1625
393	5982	1609
394	5994	1593
395	6006	1577
396	6018	1561
397	6033	1546
398	6045	1530
399	6059	1514
400	6073	1499
401	6084	1483
402	6092	1466
403	6103	1450
404	6115	1434
405	6127	1418
406	6141	1403
407	6154	1387
408	6167	1372
409	6179	1356
410	6191	1340
411	6202	1324
412	6210	1308
413	6223	1292
414	6236	1277
415	6249	1262
416	6261	1246
417	6274	1230
418	6289	1215
419	6301	1200
420	6315	1185
421	6326	1169
422	6338	1153
423	6351	1138
424	6369	1123
425	6383	1108
426	6396	1093
427	6411	1078
428	6422	1062
429	6434	1047
430	6445	1031
431	6458	1016
432	6471	1001
433	6483	985
434	6495	970
435	6507	955
436	6519	939
437	6532	924
438	6543	909
439	6556	894
440	6569	878
441	6583	863
442	6595	848
443	6606	833
444	6621	818
445	6634	803
446	6647	788
447	6660	773
448	6674	758
449	6690	743
450	6705	728
451	6718	713
452	6734	698
453	6749	683
454	6766	669
455	6779	654
456	6793	639
457	6806	624
458	6823	609
459	6841	594
460	6853	579
461	6866	564
462	6884	550
463	6899	535
464	6914	520
465	6931	505
466	6944	490
467	6959	475
468	6977	461
469	6992	446
470	7007	431
471	7022	416
472	7039	401
473	7054	386
474	7072	372
475	7089	357
476	7111	342
477	7128	328
478	7144	313
479	7157	298
480	7169	283
481	7179	268
482	7190	253
483	7201	238
484	7213	223
485	7224	208
486	7235	193
487	7248	178
488	7259	163
489	7270	148
490	7281	133
491	7293	118
492	7307	103
493	7321	88
494	7337	74
495	7352	59
496	7363	44
497	7377	29
498	7389	14
499	7400	0
